אתונה,"(37.972819149999985, 23.723743849999998)",9619. הרודטוס ספרי ההסטוריה 5.62
אתונה,"(37.972819149999985, 23.723743849999998)",9618. הרודטוס ספרי ההסטוריה 7.182
אתונה,"(37.972819149999985, 23.723743849999998)",9617. הרודטוס ספרי ההסטוריה 7.140
אתונה,"(37.972819149999985, 23.723743849999998)",9616. הרודטוס ספרי ההסטוריה 7.168
אתונה,"(37.972819149999985, 23.723743849999998)",9615. הרודטוס ספרי ההסטוריה 7.138
אתונה,"(37.972819149999985, 23.723743849999998)",9614. הרודטוס ספרי ההסטוריה 7.95
אתונה,"(37.972819149999985, 23.723743849999998)",9613. הרודטוס ספרי ההסטוריה 7.90
אתונה,"(37.972819149999985, 23.723743849999998)",9612. הרודטוס ספרי ההסטוריה 7.5
אתונה,"(37.972819149999985, 23.723743849999998)",9611. הרודטוס ספרי ההסטוריה 7.9A
אתונה,"(37.972819149999985, 23.723743849999998)",9610. הרודטוס ספרי ההסטוריה 5.63
אתונה,"(37.972819149999985, 23.723743849999998)",9609. הרודטוס ספרי ההסטוריה 7.2
אתונה,"(37.972819149999985, 23.723743849999998)",9608. הרודטוס ספרי ההסטוריה 6.120
אתונה,"(37.972819149999985, 23.723743849999998)",9607. הרודטוס ספרי ההסטוריה 6.132
אתונה,"(37.972819149999985, 23.723743849999998)",9606. הרודטוס ספרי ההסטוריה 6.124
אתונה,"(37.972819149999985, 23.723743849999998)",9605. הרודטוס ספרי ההסטוריה 6.107
אתונה,"(37.972819149999985, 23.723743849999998)",9604. הרודטוס ספרי ההסטוריה 6.115
אתונה,"(37.972819149999985, 23.723743849999998)",9603. הרודטוס ספרי ההסטוריה 6.106
אתונה,"(37.972819149999985, 23.723743849999998)",9602. הרודטוס ספרי ההסטוריה 6.86
אתונה,"(37.972819149999985, 23.723743849999998)",9601. הרודטוס ספרי ההסטוריה 6.49
אתונה,"(37.972819149999985, 23.723743849999998)",9600. הרודטוס ספרי ההסטוריה 6.57
אתונה,"(37.972819149999985, 23.723743849999998)",9599. הרודטוס ספרי ההסטוריה 6.39
אתונה,"(37.972819149999985, 23.723743849999998)",9598. הרודטוס ספרי ההסטוריה 6.35
אתונה,"(37.972819149999985, 23.723743849999998)",9597. הרודטוס ספרי ההסטוריה 5.70
אתונה,"(37.972819149999985, 23.723743849999998)",9596. הרודטוס ספרי ההסטוריה 5.87
אתונה,"(37.972819149999985, 23.723743849999998)",9595. הרודטוס ספרי ההסטוריה 5.81
אתונה,"(37.972819149999985, 23.723743849999998)",9594. הרודטוס ספרי ההסטוריה 5.82
