Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
יתכן,makes sense/correct,quality,,יתכן,Explained or Clear,,,Targum Yonatan,,,,
יתר הישמעאלי,,biblical person,,יתר הישמעאלי,Jether the Ishmaelite,Yeter HaYishmaelit,,,,,,
יתרו,,biblical person,,יתרו,Jethro,Yitro,YES,,,,,
כבוד אב ואם,respect for parents,halachic process,,כבוד אב ואם,Honoring Parents,,,,,,,
כבוד ה,revelation of HaShem (relatively),spiritual entity,,כבוד ה',Revelation of God's Glory (Presence),,,,,,,
כבוד הבריות,"respect for living things, esp. humans",halachic process,,כבוד הבריות,"Dignity of Creatures, esp. Humans",,,,,,,
כבוד זקן ורב,respect for elderly/superior,halachic process,,כבוד זקן ורב,Honoring Elders and Rabbis,,,,,,,
כבוד,respect/honor,process,,כבוד,Respect or Honor,,,,,,,
כבול,closed/infertile,quality,,כבול,[The Land of] Kabul,,,,,,,
כביר,great/big,quality,,כביר,Strong,,,,,,,
כבלע,as it's uncovered/covered,process,,כבלע,When Covered or Removed,,,,,,,
כבס,wash,process,,כבס,To Wash,,,,,,,
כברת,measure of distance,material quality,,כברת,Like a Distance,,,,,,,
כבש בעל חיים,sheep,mammal,,כבש,A Lamb ,,,,,,,
כבש וכבשוה,control,process,,וכבשוה,"""And Subdue it""",,,,,,,
כבש מזבח,ramp of altar,structure,,כבש המזבח,The Ramp of the Altar,,,,,,,
כבשן,furnace,structure,,כבשן,The Furnace,,,,,,,
כדור,sphere/ball,inanimate object,,כדור,A Ball,,,,,,,
כדכד,precious stone/glass,inanimate object,,כדכד,A Precious Stone,,,,,,,
כה לחי,"""this [good] should be for life""",phrase,,כה לחי,"""[Like] this [good] should be for life""",,,,,,,
כה,like this,preposition,,כה,So,,,,,,,
כהה,dull/dim,quality,,כהה,Subdued,,,,,,,
כהונה בית אב,family division of kohanim,halachic role,,בתי האב של הכהנים,The Clans of the Priests,,,,,,,
כהונה בעל מום,unfit as kohen,halachic quality,,כהן בעל מום,A Priest with a Disqualifying Mark or Illness,,,,,,,
כהונה חלוקה ונחלה,portion/ownership of kohen,halachic process,,כוהנים בחלוקה ונחלה,The Priests and the Division and Possession [of the Land],,,,,,,
כהונה טומאה,impurity for kohen,halachic quality,,טומאת כהן,Impurity of Priests,,,,,,,
כהונה יין,kohen drinking alcohol,halachic process,,שתיית יין לכהנים,[Prohibition of] Priests Drinking Wine,,,,,,,
כהונה מלואים,kohen inauguration,halachic process,,ימי המלואים,The Days of the [Priestly] Inauguration,,,,,,,
כהונה משוח מלחמה,kohen annointed for war,halachic role of person,,כהן משוח מלחמה,The Priest Anointed [for the Announcements Prior to a] War,,,,,,,
כהונה משמרות,divisions of kohanim for service,halachic role,,משמרות כהונה,The Divisions (Shifts) of the Priestly [Service],,,,,,,
כהונה עבודה,service of kohanim ,halachic process,,עבודת הכהנים,The [Temple] Service of the Priests ,,,,,,,
כהונה,quality of being a kohen,quality,,כהונה,The Priesthood ,,,,,,,
כהן אשה,wife of a kohen,halachic role of person,family role,אשת כהן,The Wife of a Priest,,,,,,,
כהן בת,daughter of a kohen,halachic role of person,family role,בת כהן,The Daughter of a Priest,,,,,,,
כהן גדול אבלות,kohen gadol mourning,halachic process,,אבילות כהן גדול,Mourning [Practices] of a HIgh Priest,,,,,,,
כהן גדול הוראה,kohen gadol halachic decision,halachic process,,הוראת כהן גדול,Ruling of a High Priest,,,,,,,
כהן גדול אשה,wife of kohen gadol,halachic role of person,family role,אשת כהן גדול,The Wife of a High Priest,,,,,,,
כהן גדול,,halachic role of person,,כהן גדול,A High Priest,,,,,,,
כוונה,intention,process,,כוונה,Intention or Focus,,,,,,,
כוזרים,,nation/ethnicity,,כוזרים,The Khazars,,,,,,,
כוחי ועוצם ידי,"""my ability and virtue""",phrase,,כוחי ועוצם ידי,"""My Strength and the Might of my Hand""",,,,,,,
כוי,,animal,,כוי,A Certain Specie that Defies Categorization,Koy,,,,,,
כויה,skin burn,fiat object part,,כויה,A Burn,,,,,,,
כוכב,celestial object,inanimate object,,כוכב,A Star,,,,,,,
כונה,intention,process,,כונה,Intention or Focus,,,,,,,
כונים,type of idolatry?,theurgy,halachic process,כונים,Idolatrous Cakes,,,,,,,
כוס של ברכה,cup of blessing,halachic role of inanimate object,,כוס של ברכה,Cup of [Wine Held when Reciting a] Blessing,,,,,,,
כוס,cup,inanimate object,,כוס,A Glass or Cup,,,,,,,
כופר,expiation,role,,כופר,Expiation by Payment,,,,,,,
כור,dry measure,material quality,,כור,A Dry Measure,Kor,,,,,,
כורש,,biblical person,,כורש,Cyrus the Great,Korush,YES,,,,,
כורת,beehive,inanimate object,,כורת,A Beehive,,,,,,,
כוש כושי,,nation/ethnicity,,כוש,Kush (An Ancient African Kingdom Located in the Southern Nile Valley),,,,,,,y
כושן רשעתים,,biblical person,,כושן רשעתים,,Cushan-rishathayim,,,,,,
כותים,,nation/ethnicity,,כותים,The Cuthites,Kutim,,,,,,
כותל מערבי,western wall (of Beis HaMikdash),geographic site,,כותל מערבי,The Western Wall (of the Second Temple Compound),,,,,,,
כותל,wall,structure,,כותל,A Wall,,,,,,,
כזב,deceit,quality,,כזב,To Deceive,,,,,,,
כזבי,,biblical person,,כזבי,,Cozbi,YES,,,,,
כזיב,,geographic site,,כזיב,,Kaziv,,,,,,
כח,power/strength,quality,,כח,Strength or Power,,,,,,,
כחד,withhold,process,,כחד,To Conceal,,,Malbim,,,,
כחש,contradict/lie,process,,כחש,To Falsely Deny or Lie,,,,,,,
כי,if/maybe/but rather/that/because,word,,כי,A Preposition With Several Meanings (If/Perhaps/But Rather/That/Because),Ki,,,,,,
כידון,spear,inanimate object,,כידון,A Javelin or Spear,,,,,,,
כילות,stinginess,character trait,,כילות,Stinginess,,,,,,,
כימה,Pleiades cluster,group of inanimate objects,,כימה,Pleiades Cluster,,,,,,,
כינוי,epithet,language entity,,כינוי,An Epithet or Nickname,,,,,,,
כירים,stove,inanimate object,,כירים,A Stove,,,,,,,
ככר מישור,plain,geographic feature,,כיכר,A Plain,,,,,,,
ככר שעור,unit of weight,material quality,,כיכר,A Biblical Unit of Weight,Kikar,,,,,,
כל,all/to measure,quality,process,כל,All or Any (or to Measure),,,,,,,
כלאב,,biblical person,,כלאב,Chileab,Kilav,YES,,,,,
כלאים כלאי בהמה,mixing animals,halachic quality,,כלאי בהמה,Forbidden Mixing (Breeding) of Animals,,,,,,,
כלאים,forbidden mixing of species,halachic quality,,כלאים,Forbidden Mixing of Species,Kilayim,,,,,,
כלב בן יפונה,,biblical person,,כלב בן יפונה,"Caleb, the Son of Jephuneh",Kalev ben Yefuneh,YES,,,,,
כלב,dog,mammal,,כלב,A Dog,,,,,,,
כלבא שבוע,,mishnaic person,,כלבא שבוע,,Kalva Savua,,,,,,
כלה נשואין,bride,family role,,כלה,A Bride,,,,,,,
כלה סוף,to end,process,,כילוי,Termination,,,,,,,
כלח,aged/complete,quality,,כלח,Old Age,,,,,,,
כלי גבר,men's clothing/adornment,halachic role of inanimate object,,כלי גבר,(The Prohibition of a Woman Wearing) a Man's Garment or Adornment,,,,,,,
כלי זיין,weapon,inanimate object,,כלי זיין,A Weapon,,,,,,,
כלי חרס,pottery,inanimate object,,כלי חרס,Earthenware Vessels,,,,,,,
כלי מקדש ארון בפלשתים,the holy ark in hands of phillistines,biblical historical event,,הארון בשדה פלשתים,The Ark in the Field of the Philistines,,,,,,,
כלי מקדש ארון כפורת וכרובים,holy ark cover and cherubs,group of inanimate objects,,ארון כפורת וכרובים,The Ark Cover and Cherubs,,,,,,,
כלי מקדש ארון מסע,travel of holy ark,biblical historical event,,מסע הארון,Journey of the Ark in the Desert,,,,,,,
כלי מקדש ארון,holy ark (of the covenant),inanimate object,,ארון הברית,The Ark of the Covenant,Aron Habrit,,,,,,
כלי מקדש כיור,the laver,inanimate object,,הכיור,The Laver,,,,,,,
כלי מקדש מזבח הזהב,the golden altar,inanimate object,,מזבח הזהב,The Gold (Incense) Altar,,,,,,,
כלי מקדש מזבח,the altar,inanimate object,,מזבח הנחושת,The Copper (Sacrificial) Altar,,,,,,,
כלי מקדש מנורה הדלקה,the temple menorah lighting,halachic process,,הדלקת המנורה,The Lighting of the [Temple] Menorah ,,,,,,,
כלי מקדש מנורה,temple menorah,inanimate object,,המנורה,The [Temple] Menorah,,,,,,,
כלי מקדש פרוכת,the temple curtain,inanimate object,,הפרוכת,The [Temple] Curtain,,,,,,,
כלי מקדש שולחן,the temple table (of showbread),inanimate object,,השולחן,The [Temple] Table (for the Showbread),,,,,,,
כלי מקדש,items of the temple,group of inanimate objects,,כלי המקדש,The [Temple] Vessels (Furnishings),,,,,,,
כלי משכן מזבח אש,the altar fire,inanimate object,,אש המזבח,The Altar Fire,,,,,,,
כלי נכרים,utensils made by non-Jews,inanimate object,,כלי נכרים,[Use of] Utensils Taken from Gentiles,,,,,,,
כלי,container/tool/item,inanimate object,,כלי,A Vessel,,,,,,,
כליון עינים,longing,process,,כליון עינים,Longing,,,,,,,
כליות,kidneys,body part,,כליות,Kidneys (Understood to be the Seat of Counsel and Wisdom),,,,,,,y
כלכל,sustain/contain,process,,כלכל,To Sustain Around or to Encircle ,,,Hirsch,,,,
כלל,principle/generality,meta halacha,,כלל,A General Principle,,,,,,,
כלמה,humiliation,emotion,,כלמה,Humiliation,,,,,,,
כמוש,type of idolatry,theurgy,,כמוש,Chemosh (God of the Moabites),Kemosh,,,,,,y
כן אמת,correct,quality,,כן,Correct,,,,,,,
כן,base,inanimate object,,כן,Post or Position,,,,,,,
כנוס,gather,process,,כנוס,Gathering,,,,,,,
כנור,type of instrument/lyre?,inanimate object,,כנור,Lyre,,,,,,,
כנים עשר מכות,lice of 10 pagues,biblical historical event,,מכת כנים,The Plague of Lice (One of the 10 Plagues),,,,,,,y
כנים,honest,character trait,,כנים,Honest,,,,,,,
כניסה,entrance/gathering,process,,כניסה,An Entrance,,,,,,,
כניעה,submission,process,,כניעה,Submission,,,,,,,
כנסת הגדולה,,group of people,,כנסת הגדולה,The Great Assembly,,,,,,,
כנסת ישראל,,nation/ethnicity,,כנסת ישראל,The Jewish People (The Gathering of Israel),Knesset Yisrael,,,,,,y
כנען,,nation/ethnicity,,כנען,Canaan,Kena'an,,,,,,
כנף הארץ,far reaches of the land,phrase,,כנף הארץ,Far Reaches of the Land,,,,,,,
כנף רננים,,bird,,כנף רננים,A Large Bird,,,,,,,
כנף,wing/edge,body part,,כנף,Wing or Corner,,,,,,,
כנרת,,geographic site,,כנרת,[Sea of] Galilee,Kinneret,,,,,,
כסא ליום הכסא,appointed day,phrase,day,כסא ליום הכסא,The Set Day,,,Rashi,Proverbs 7:20,,,
כסא הכבוד,the Throne of Glory/revelation,spiritual entity,,כסא הכבוד,The Throne of Glory,,,,,,,
כסא,chair,inanimate object,,כסא,Chair or Throne,,,,,,,
כסוי הראש,head covering,halachic role of inanimate object,,כסוי הראש,Head Covering,,,,,,,
כסות עינים,"""cover of eyes""; colorful garment",phrase,inanimate object,כסות עינים,A Type of Garment,,,,,,,
כסות,clothing,inanimate object,,כסות,Clothing,,,,,,,
כסיל כוכב,antares?,inanimate object,,כוכב כסיל ,Orion,,,,,,,
כסיל שוטה,fool,character trait,,שוטה,A Fool,,,,,,,
כסל,foolishness/trust,quality,,כסל,Hope or Foolishness,,,,,,,
כסלו,,month,,כסלו,The Month of Kislev,,,,,,,
כסף,money/silver,inanimate object,,כסף,Money or Silver,,,,,,,
כעס,anger,emotion,,כעס,Anger,,,,,,,
כעת חיה,"""at this time, to be of life""",phrase,,כעת חיה,"""Like this Time, She Will be Alive""",,,,Genesis 18:10,,,
כעת,at [this/that] time,moment in time,,כעת,Like this Time [in the Future],,,Rashbam,Numbers 23:23,,,
כף הקלע,slingshot,inanimate object,,כף הקלע,The Hollow of a Sling,,,,,,,
כף,palm/sole/cupped item,inanimate object,body part,כף,Palm of the Hand,,,Malbim,,,,
כפה,dome/arching,structure,,כפה,An Arch or a Branch,,,Radak,Isaiah 9:13,,,
כפור,frost,weather,,כפור,Frost,,,Malbim,,,,
כפי,as/like the opening of,preposition,,כפי,As or Like [Something in the Past],,,,,,,
כפיה,coercion,process,,כפיה,Coercion,,,,,,,
כפיית טובה,being ungrateful,process,character trait,כפיית טובה,Lack of Gratitude,,,,,,,
כפיר,lion cub,mammal,,כפיר,A Lion Cub,,,,,,,
כפירה,heresy/denial,theological process,,כפירה,Heresy or Denial,,,,,,,
כפל ענין,redundant phrase,language entity,,כפל ענין,Repetition of Something (in a Biblical Passage),,,,,,,
כפל,double (payment),halachic process,,כפל,Double [Payment of Indemnity],,,,,,,
כפר,village,structure,,כפר,A Village,,,,,,,
כפרה,atonement,theology,,כפרה,Atonement,,,,,,,
כפרות,custom of kapparos,process,,כפרות,"""Atonements"" (Custom of Using Chickens or Money as a Means of Atonement)",Kapparot,,,,,,y
כפתורים,,nation/ethnicity,,כפתורים,Caphtorites,Kaftorim,,,,,,
כר,cushion,inanimate object,,כר,A Cushion,,,,,,,
כרה,dig/buy/set up,process,,כרה,To Dig or to Rent,,,,,,,
כרום זולות,,phrase,,כרום זולות,"""When Base Things are Elevated""",,,,Psalms 12:9,,,
כרי,noblemen,group of people,,כרי,A Group of Warriors,,,,II Kings 11:4,,,
כרך,city,structure,,כרך,A City,,,,,,,
כרכב,band going around something,inanimate object,,כרכב,A Ledge [around Something],,,,,,,
כרם רבעי,4th year vineyard produce,halachic role of inanimate object,,כרם רבעי,4th Year Grapes,,,,,,,
כרם,vineyard,group of plants,,כרם,A Vineyard,,,,,,,
כרמל,fertile land/rich produce,geographic site,material quality,כרמל,Fresh Grain or A Region,,,,,,,
כרע כריעה,kneeling,process,,כריעה,Bowing,,,,,,,
כרעים,feet,body part,,כרעים,[Animal] Legs,,,,,,,
כרת,divine punishment of severance,theological process,,כרת,Excision,,,,,,,
כרתי ופלתי,,group of people,,כרתי ופלתי,Cherethites and Pelethites (Two Groups of Soldiers Understood as Alluding to the Urim and Thumim),Kreiti Oupleiti,,,,,,y
כרתים,,nation/ethnicity,,כרתים,Cretans (or Another Nation Associated with the Philistines),,,,,,,
כשדים,,nation/ethnicity,,כשדים,Chaldeans,Kasdim,,,,,,
כשה,cover,process,,כשה,To Cover or to Rebel,,,"Rashi, Ibn Ezra",Deuteronomy 32:15,,,
כשוף דורש אל המתים,necromancy,halachic process,,דורש אל המתים,Necromancy,,,,,,,
כשוף חובר חבר,animal taming sorcery,halachic process,,חובר חבר,A Sorcerer that Casts Spells and/or Charms Animals,Chover Chaver,,,,,,
כשוף ידעוני,yidoni sorcery,halachic process,,ידעוני,A Type of Sorcery,Yidoni,,,,,,
כשוף,sorcery,halachic process,,כשוף,Sorcery,,,,,,,
כתב כתיבה,writing,process,,כתיבה,Writing,,,,,,,
כתבי הקדש,holy books,biblical source,,כתבי הקדש,The Holy Books (Bible),,,,,,,
כתובה,marriage document,source,halachic role of inanimate object,כתובה,A Marriage Contract,Ketuvah,,,,,,
כתובת קעקע,tattoo,halachic process,,כתובת קעקע,A Tattoo,,,,,,,
כתונת,tunic,inanimate object,,כתונת,A Tunic,,,,,,,
כתיב,text,inanimate object,,כתיב,The Written (Biblical) Text,,,,,,,
כתים,,nation/ethnicity,,כתים,A Nation Originally from Cyprus Associated with Rome or Greece,Kittim,,,,,,
כתם,"jewelry, esp. fine gold",inanimate object,,כתם,"Jewelry, esp. Fine Gold",,,,,,,
כתר,crown,inanimate object,,כתר,Crown,,,,,,,
ל,,letter,,ל,"The Letter, Lamed",,,,,,,
לא ילבש גבר,prohibition of cross-dressing,halachic process,,לא ילבש גבר,The Prohibition for a Man to Dress [Like a Woman],,,,,,,
לא תחמוד,prohibition of coveting,halachic process,,לא תחמוד,The Prohibition of Coveting,,,,,,,
לא תחסום,prohibition of muzzling animal while working,halachic process,,לא תחסום,The Prohibition of Muzzling [an Animal while it is Working],,,,,,,
לא תתגודדו,prohibition of cutting oneself/splitting into factions,halachic process,,לא תתגודדו,The Prohibitions of Cutting Oneself or Splitting into Factions,,,,,,,
לא,no,word,,לא,No,,,,,,,
לאה,,biblical person,,לאה,Leah,,YES,,,,,
לאו,no/mitzvah in negative,word,,לאו,No or a Negative Commandment,,,,,,,
לאום לאומיות,nation,group of people,,לאום,A Nation,,,,,,,
לאמר,that he should say,process,,לאמר,To Say,,,,,,,
