Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
נכרי תורה,non-Jew learning Torah,halachic process,,,,,נכרי,
נכרי,foreigner (non-Jew),quality,,,,,,
נכרית,foreign woman (non-Jew),quality,,,,,נכרי,
נלוז,dishonest/frivolous,character trait,,,,,,
נמלה,ant,arthropod,,,,,,
נמלץ,improved/sweetened,quality,,"רש""י",,,,
נמרוד,,biblical person,,,,,,
נמרץ,explicit,quality,,"רש""י",,,,
נס אות,miracle/sign,process,,,,,,
נס על נס,flag,inanimate object,,,,,,
נסיון,challenge,process,,,,,,
נסס,chase,process,,תרגום יונתן,,,,
נסע,travel,process,,,,,,
נסתר,hidden,quality,,,,,,
נעות המרדות,"""straying, rebellious woman""",phrase,,"רש""י",,,,
נעל,shoe,inanimate object,,,,,,
נעמה העמונית,,biblical person,,,,,,
נעמה,,biblical person,,,,,,lots of sources about her re sheidim
נעמי,,biblical person,,,,,,
נעמיות,type of animal,bird,,,,,,
נעמן,,biblical person,,,,,,
נעצוץ,[thorn]bush,plant,,,,,,
נער,young man,quality,,,,,,
נערה,young woman,quality,,,,,,
נערץ,awesome,quality,,,,,,
נעשה ונשמע,"""we will do and listen/learn""",phrase,,,,,,
נעתם,scorched,quality,,תרגום יונתן,,,,
נפילים,giants/fallen spiritual beings,group of people,,"רש""י",,,,
נפילת אפים,falling on face prayer,halachic process,,,,,,
נפל,descend/fall/settle,process,,,,,,
נפלאות,transcendent/unbelievable events,process,,,,,,
נפץ,shatter/break apart,process,,,,,,
נפש חיה,living creature,quality,,,,,,
נפש,soul/being/life,spiritual entity,,,,,,
נפתלי,,biblical person,,,,,,
נץ עופות,type of bird,bird,,,,,,
נץ פרי,immature fruit,plant,,,,,,
נצב,stand (at attention/to greet/to govern),process,,,,,,
נצבים,administrators,role of person,,,,,,
נצה,fight,process,,,,,,
נצח,win/eternity,process,span of time,,,,,
נצל,save/empty,process,,,,,,
נצר צומח,young plant,plant,,,,,,
נצר שמר,guard,process,,,,,,
נצרות,christianity,theology,,,,,,
נקב,state explicitly,process,,,,,,
נקבה,female,material quality,,,,,,
נקדימון,,mishnaic person,,,,,,
נקודה,dot/punctuation/diacritic,language entity,,,,,,
נקודים,chewy/dotted/dry,quality,,,,,,
נקי נקיון,hygeine/purity,quality,,,,,,
נקמה,revenge,process,,,,,,
נקנור שער,gate of nikanor,structure,,,,,,
נקף נקפה,wound,process,,,,,,
נקר נקרה,cavity/carved,quality,,,,,,
נקש נקשה,pursuit/something difficult,process,,"רש""י",,,,
נר אור,candle/lamp,inanimate object,,,,,,
נר סבו של שאול,,biblical person,,,,,,
נרגן,complainer,character trait,,,,,,
נרדף,chased/victimized,quality,,,,,,
נשא יד,"""lifting the hand"" in oath",phrase,process,,,,,
נשא לב,to want/be motivated,phrase,emotion,,,,,
נשא עון,bear sin,phrase,process,,,,,
נשא עין,seek/look toward,phrase,process,,,,,
נשא פנים,treat favorably,phrase,process,,,,,
נשא ראש,count/pay attention to,phrase,process,,,,,
נשא רגל,to go with readiness,phrase,process,,,,,
נשא,carry/lift/count,process,,,,,,
נשה,lend/forget/detach/demand,process,,,,,,
נשואות,that which is carried/loaded,quality,,,,,,
נשואין סעודה,wedding meal,halachic process,,,,,,
נשואין שנה ראשונה,first year of marriage,halachic process,,,,,,
נשואין,marriage,halachic process,,,,,,
נשיא,leader/representative,role of person,,,,,,
נשיאים,type of cloud,weather,,,,,,
נשיאת כפים,lifting the hands kohanic blessing,halachic process,,,,,,
נשיקה,kiss,process,,,,,,
נשל,detach,process,,,,,,
נשמה גלגול,soul reincarnation,theological process,,,,,נשמה,
נשמה וגוף,soul and body,relationship,,,,,נשמה,
נשמה יחידה,unified soul,spiritual entity,,,,,נשמה,
נשמה יתרה,extra soul,spiritual entity,,,,,נשמה,
נשמה,soul,spiritual entity,,,,,,
נשף,beginning of day or night,part of a day,,,,,,
נשפה,safe/high up,quality,,,,,,
נשק,sustain,process,,,,,,
נשר,type of bird,bird,,,,,,
נתח,cut/piece,process,,,,,,
נתיב,path,structure,,,,,,
נתין,,nation/ethnicity,,,,,,
נתן הנביא,,biblical person,,,,,,
נתן,give/place,process,,,,,,
נתנאל,,biblical person,,,,,,
נתץ,smash,process,,,,,,
נתק, tzaraas of hair regions,fiat object part,,,,,,
נתר,nitra,inanimate object,,,,,,
ס,,letter,,,,,,
סאה,type of measure,inanimate object,,,,,,
סאסאה,type of measure,inanimate object,,,,,,
סב,elderly/gradparent,quality,,,,,,
סבב,go around,process,,,,,,
סבה,cause,process,,,,,,
סביבה,environment,geographic feature,,,,,,
סבל סבלנות,to bear/patience,process,character trait,,,,,
סברא,logic,meta halacha,,,,,,
סגד,bowing,process,,,,,,
סגלה,beloved/special,quality,,,,,,
סגן,second in command,role of person,,,,,,
סגר,close/give over,process,,,,,,
סד,shackle,inanimate object,,"רש""י",,,,
סדום מדת,sodomite attitude,character trait,,,,,,
סדום מלך,,biblical person,,,,,,
סדום,,geographic site,,,,,,
סדר,order/procedure,process,,,,,,
סוד,secret,role,,,,,,
סוחר,merchant,occupation,,,,,,
סוטה,accused woman,halachic role of person,,,,,,
סוכה,sukkah,structure,halachic role of inanimate object,,,,,
סוכות,sukkos,pilgrimage festival,,,,,,
סוכן,director,role of person,,תרגום יונתן,,,,
סוכנת,companion,role of person,,,,,,
סוללה,man-made hill for sentry/attack,structure,,"רש""י",,,,
סולם,ladder,inanimate object,,,,,,
סולת,flour,inanimate object,,,,,,
סומא,blind person,material quality,,,,,,
סוס עגור,type of bird,bird,,,,,,
סוס,horse,mammal,,,,,,
סוף גמר,end,process,,,,,,
סוף ים סוף,reeds,group of plants,,,,,,
סופה,storm/hurricane,weather,,,,,,
סופר סופרים,scribe/scholar,occupation,,,,,,
סור,go away/toward,process,,,,,,
סורא,,geographic site,,,,,,
סוריה,,geographic site,,,,,,
סורר ומורה,,halachic role of person,family role,,,,,
סורר,disobedient,process,,,,,,
סות,garment/covering,inanimate object,,,,,,
סחיש,aftergrowth,plant,,,,,,
סחר סחורה,travel around/do business,process,,,,,,
סטירה,hit/ruin,process,,,,,,
סטרא אחרא,,spiritual entity,,,,,,
סיד,plaster,inanimate object,,,,,,
סיום,finishing/end,process,,,,,,
סיון,,month,,,,,,
סיחון,,biblical person,,,,,,
סייג,precaution/fence,object,,,,,,
סימן,indication/mnemonic,object,,,,,,
סין,,geographic site,,,,,,
סיני,,geographic site,,,,,,
סיסרא,,biblical person,,,,,,
סכות,sukkos,pilgrimage festival,,,,,,
סכין,knife,inanimate object,,,,,,
סכל,stupidity/crookedness,quality,,,,,,
סכן,benefit/teach/argue,process,,,,,,
סכנה,danger,process,,,,,,
סכסך,incite,process,,תרגום יונתן,,,,
סכר,close/give over,process,,,,,,
סלה לעולם,forever/truth/indication to raise voice,word,,"רד""ק",,,,
סלה סולו,pave/praise,process,,,,,,
סלה,trample,process,,,,,,
סלח סליחה,forgiveness,process,,,,,,
סלמנדרא,salamander,amphibian,,,,,,
סלסל,lift/turn over,process,,,,,,
סלע,stone/strength,inanimate object,,,,,,
סלף,corruption,process,,,,,,
סם,chemical solution,inanimate object,,,,,,
סמאל,,spiritual entity,,,,,,
סמבטיון,,geographic site,,,,,,
סמיכה בית דין,ordination,halachic process,,,,,,
סמיכה קרבן,leaning on korban,halachic process,,,,,,
סמיכות,juxtaposition of texts,meta halacha,,,,,,
סמים,substances/fragrances,inanimate object,,,,,,
סמך,support,process,,,,,,
סמל,image/idol,object,,,,,,
סנבלט,,biblical person,,,,,,
סנדק,one who holds baby at bris milah,role of person,,,,,,
סנה,type of bush,plant,,,,,,
סנהדרין,,group of people,,,,,,
סנורים,confusion,process,,,,,,
סנחריב,,biblical person,,,,,,
סניגור וקטיגור,prosecutor and defendant,role of person,,,,,,
סנפיר,fin,body part,,,,,,
סנפירינון,type of precious stone,inanimate object,,,,,,
סעדיה גאון,,geon person,,,,,,
סעודה של לויתן,feast of leviathan,theology,,,,,,
סעודה,feast/meal,process,,,,,,
סעפים,conspirators,role of person,,,,,,
סערה,storm/heavy wind,weather,,,,,,
סף,doorway/container,structure,,,,,,
ספד,eulogize,lifecycle process,,,,,,
ספה,add/end,process,,,,,,
ספור ספר,telling/talking,process,,,,,,
ספות,jugs/instruments,inanimate object,,,,,,
ספיח,extra vegetation,group of plants,,,,,,
ספינה,boat,inanimate object,,,,,,
ספיר,type of precious stone,inanimate object,,,,,,
ספירות,sefiros,theology,,,,,,
ספק,doubt,quality,,,,,,
ספר הישר,,source,,,,,,
ספר יצירה,,source,,,,,,
ספר תורה כתיבה,writing Torah scroll,halachic process,,,,,,
ספר תורה,Torah scroll,inanimate object,,,,,,
ספר,scroll/book,inanimate object,,,,,,
ספרד,,geographic site,,,,,,
ספרים חיצוניים,,source,,,,,,
סקילה,stoning,halachic process,,,,,,
סקרנות,curiosity,character trait,,,,,,
סרה,nonsense,quality,,,,,,
סרוב,refusal,process,,,,,,
סרוס,castration/neutering/spaying,halachic process,,,,,,
סרח,,biblical person,,,,,,
סריס,eunuch/minister,role of person,,,,,,
סרסור,intermediary,role of person,,,,,,
סתום,closed,quality,,,,,,
סתירה,contradiction/demolition,process,,,,,,
סתם,on the surface/presumably,word,,,,,,adverb?
סתר,private/hidden,quality,,,,,,
ע,,letter,,,,,,
עב,thick/high/forested/cloud,quality,inanimate object,"רד""ק",,,,
עבד כנעני,non-Jewish slave,role of person,,,,,,
עבד ה,servant of HaShem,role of person,,,,,,
עבד כנעני הסגרה,not giving over runaway non-Jewish slave,halachic process,,,,,,
עבד כנעני יום או יומים,time for non-Jewish slave to recover,halachic process,,,,,,
עבד כנעני שן ועין,injuring tooth or eye of non-Jewish slave,halachic process,,,,,,
עבד מלך הכושי,,biblical person,,,,,,
עבד עברי הענקה,departing gifts to Jewish slave,halachic process,,,,,,
עבד עברי נרצע,piercing Jewish slave,halachic process,,,,,,
עבד עברי שפחה,Jewish slave marrying non-Jewish slavewoman,halachic process,,,,,,
עבד עברי,Jewish slave,role of person,,,,,,
עבד,slave/servant,role of person,,,,,,
עבודה ועבודה,assets,object,,,,,,
עבודה פעולה,working,process,,,,,,
עבודה זרה אשרה,asherah idolatry,halachic process,theurgy,,,,,
עבודה זרה בטול,nullifying idolatry,halachic process,theurgy,,,,,
עבודה זרה דגון,dagon idolatry,halachic process,theurgy,,,,,
עבודה זרה חמנים,sun idolatry,halachic process,theurgy,,,,,
עבודה זרה כונים,type of idolatrous ritual,halachic process,theurgy,,,,,
עבודה זרה מולך,molech idolatry,halachic process,theurgy,,,,,
עבודה זרה,idolatry,halachic process,theurgy,,,,,
עבודת אדמה,agriculture,process,,,,,,
עבודת ה אהבה,love in serving HaShem,theological process,,,,,,
עבודת ה יראת שמים,awe/reverence in serving HaShem,theological process,,,,,,
עבודת ה עול מלכות שמים,accepting the yoke of Heaven,theological process,,,,,,
עבודת ה,serving HaShem,theological process,,,,,,
עבור הריון,conception and pregnancy,lifecycle process,,,,,,
עבור מעבור הארץ,last year's grain,food,,"אבן עזרא/רד""ק",,,,
עבור שנה,calculating leap year,halachic process,,,,,,
עבור,pass through/over/to,process,,,,,,
עבות,braid,inanimate object,,,,,,
עבטיט,thick with mud,quality,,,,,,
עבר בנו של שם,,biblical person,,,,,,
עבר פאה,side,fiat object part,,,,,,
עבר הירדן,,geographic site,,,,,,
עברה,rage,emotion,,,,,,
עברי,,nation/ethnicity,,,,,,
עגב,levity/desire,process,,,,,,
עגול ועדשים עגולים,round lentils,food,,,,,,
עגול,circle,object,,,,,,
עגל חטא,sin of golden calf,biblical historical event,,,,,,
עגל,calf,mammal,,,,,,
עגלה ערופה,calf for finding body,halachic role of inanimate object,,,,,,
עגלה שלישיה,choice calf,mammal,,"רד""ק",,,,
עגלה,wagon,inanimate object,,,,,,
עגלון,,biblical person,,,,,,
עד,until/while,preposition,,,,,,
עדד,increase/uplift,process,,,,,,
עדה,group/populus,group of people,,,,,,
עדו,,biblical person,,,,,,
עדות עדותיו,attestations; type of mitzvah,theology,,,,,,
עדות עדים זוממים,conspiring witnesses,halachic role of person,,,,,,
עדות,testimony,process,,,,,,
עדי,jewelry,inanimate object,,,,,,
עדינו,,biblical person,,,,,,
עדן,Eden/pleasantness,spiritual site,quality,,,,,
עדנה,youth/pleasure,quality,,,,,,
עדשים,lentils,food,,,,,,
עובד אדום,,biblical person,,,,,,
עובד כוכבים,idolater,halachic role of person,,,,,,
עובד,,biblical person,,,,,,
עובדיה,,biblical person,,,,,,
עובר,fetus,quality,,,,,,
עוג,,biblical person,,,,,,
עוד,yet/more,preposition,,,,,,
עוה,become stupid/dysfunctional,process,,תרגום יונתן,,,,
עוון,sin/wrongdoing,halachic process,,,,,,
עוור,blind,quality,,,,,,
עוות,confuse,process,,,,,,
עוז,brazenness,character trait,,,,,,
עוזא,,biblical person,,,,,,
עוזיאל,,biblical person,,,,,,
עוזיה,,biblical person,,,,,,
עוים,,nation/ethnicity,,,,,,
עול,dishonesty,process,,,,,,
עולל,child,quality,,,,,,
עוללות,grapes for poor,halachic role of inanimate object,,,,,,
עולם ועד,forever,phrase,,,,,,
עולם מן העולם,forever,phrase,,,,,,
עולם הבא,the world or era to come,theology,,,,,,
עולם הזה,this world or era,theology,,,,,,
עולם,world/universe/era,span of time,object,,,,,
עומר ספירת,counting the omer,halachic process,,,,,,
עומר,type of measure,inanimate object,,,,,,
עון,sin/wrongdoing,halachic process,,,,,,
עונג,enjoyment,process,,,,,,
עוני עני,poverty,quality,,,,,,
עונן,magician ,role of person,,,theurgy,,,
עונש,punishment,process,,,,,,
עועים,cionfusion,process,,,,,,
עוף,bird,bird,,,,bird,,
עופל,fortress/high place,structure,,,,,,
עופר,young ram,mammal,,,,,,
עופרת,lead (metal),inanimate object,,,,,,
עוץ,,geographic site,,,,,,
עוקר הרים,critical thinker/inventive,phrase,character trait,,,,,
עור,skin,body part,,,,,,
עורב,raven,bird,,,,,,
עורך דין,attorney,occupation,,,,,,
עורף,nape,body part,,,,,,
עורק,pursuers/nerves/sinews,object,,"רש""י",,,,
עושר,wealth,quality,,,,,,
עז פנים,bold-faced,character trait,,,,,,
עז,goat,mammal,,,,,,
עזא ועזאל,,spiritual entity,,,,,,
עזאזל,,geographic site,spiritual entity,,,,,
עזב,help/forsake,process,,,,,,
עזות,brazen,character trait,,,,,,
עזק,enclose/dig,process,,,,,,
עזר,help,process,,,,,,
עזרא,,biblical person,,,,,,
עזרה,the temple courtyard,structure,,,,,,
עזריהו בן עודד,,biblical person,,,,,,
עטוף,wrapped/late-producing,quality,,,,,,
עטוש,sneezing,process,,,,,,
עטין,fat/richness,inanimate object,,,,,,
עטף עטוף,wrapped/late-producing,quality,,,,,,
עטרה,crown,inanimate object,,,,,,
עי עיי העברים,ruins,structure,,,,,,
